level,key,profile,won,seconds,deaths,score
1,level-1a,instant,1,9.133,0,3598
2,stepping-stones,instant,1,3.300,0,1987
3,level-1b,instant,1,4.683,0,2023
4,switchback,instant,1,4.017,0,2109
5,level-1c,instant,1,4.533,1,1054
6,level-2a,instant,1,10.217,1,2267
7,split-decision,instant,1,4.717,0,2442
8,level-2b,instant,1,5.583,1,1014
9,level-2c,instant,1,2.417,0,1755
10,clockwork,instant,1,4.850,0,2341
11,level-3a,instant,1,9.183,0,3598
12,blue-hour,instant,1,4.317,0,2106
13,level-3b,instant,1,6.717,0,2362
14,level-4a,instant,1,10.133,1,2248
15,airlock,instant,1,4.967,0,2370
16,level-4b,instant,1,8.250,1,1387
17,level-4c,instant,1,8.783,1,1722
18,heartbeat,instant,1,5.233,0,2557
19,level-5,instant,1,10.400,1,2315
20,lantern-walk,instant,1,4.767,0,2372
21,level-6a,instant,1,9.917,1,2360
22,level-6b,instant,1,5.850,0,2891
23,polarity-garden,instant,1,5.550,0,2754
24,level-7,instant,1,9.733,1,2292
25,slingshot-alley,instant,1,7.017,0,2859
26,level-8,instant,1,10.167,1,2238
27,braided-current,instant,1,5.950,0,2870
28,level-9,instant,1,9.133,0,3578
29,level-10,instant,1,9.017,0,3499
30,victory-lap,instant,1,6.200,0,2747
31,level-11,instant,1,9.833,1,2221
32,level-12,instant,1,9.050,0,3479
33,reactor-waltz,instant,1,7.567,1,1594
34,level-13,instant,1,9.083,0,3379
35,level-14a,instant,1,9.100,0,3518
36,eye-of-the-storm,instant,1,8.300,1,1946
37,level-14b,instant,1,6.317,1,1426
38,level-14c,instant,1,12.400,1,2166
39,escape-velocity,instant,1,8.483,0,3405
40,level-15,instant,1,10.250,1,2247
1,level-1a,250ms,1,13.117,0,3458
2,stepping-stones,250ms,1,4.533,0,1974
3,level-1b,250ms,1,6.200,0,1837
4,switchback,250ms,1,5.650,0,2093
5,level-1c,250ms,1,7.317,1,986
6,level-2a,250ms,1,13.517,1,2124
7,split-decision,250ms,1,6.450,0,2155
8,level-2b,250ms,1,7.817,1,891
9,level-2c,250ms,1,5.333,1,756
10,clockwork,250ms,1,8.733,1,1242
11,level-3a,250ms,1,15.283,1,2347
12,blue-hour,250ms,1,6.017,0,2089
13,level-3b,250ms,1,11.267,1,1157
14,level-4a,250ms,1,13.450,0,3555
15,airlock,250ms,1,9.167,1,1168
16,level-4b,250ms,1,11.717,1,1252
17,level-4c,250ms,1,13.167,1,1678
18,heartbeat,250ms,1,7.283,0,2347
19,level-5,250ms,1,15.250,1,2267
20,lantern-walk,250ms,1,6.800,0,2351
21,level-6a,250ms,1,14.850,1,2111
22,level-6b,250ms,1,8.367,0,2866
23,polarity-garden,250ms,1,7.383,0,2436
24,level-7,250ms,1,13.783,1,2152
25,slingshot-alley,250ms,1,10.167,0,2828
26,level-8,250ms,1,14.767,1,2092
27,braided-current,250ms,1,10.550,1,1404
28,level-9,250ms,1,13.233,0,3437
29,level-10,250ms,1,13.100,0,3459
30,victory-lap,250ms,1,9.233,0,2717
31,level-11,250ms,1,12.967,0,3340
32,level-12,250ms,1,12.950,0,3340
33,reactor-waltz,250ms,1,8.833,0,2661
34,level-13,250ms,1,12.783,0,3242
35,level-14a,250ms,1,13.033,0,3379
36,eye-of-the-storm,250ms,1,9.050,0,2659
37,level-14b,250ms,1,8.883,1,1401
38,level-14c,250ms,1,15.700,1,1983
39,escape-velocity,250ms,1,13.550,1,2084
40,level-15,250ms,1,13.733,1,2052
1,level-1a,500ms,1,18.800,1,2052
2,stepping-stones,500ms,1,5.833,0,1961
3,level-1b,500ms,1,9.167,0,1888
4,switchback,500ms,1,7.467,0,2075
5,level-1c,500ms,1,8.950,1,910
6,level-2a,500ms,1,20.917,1,2250
7,split-decision,500ms,1,8.500,0,2134
8,level-2b,500ms,1,15.133,1,1038
9,level-2c,500ms,1,7.250,1,737
10,clockwork,500ms,1,11.967,1,1120
11,level-3a,500ms,1,18.900,1,2081
12,blue-hour,500ms,1,7.750,0,2072
13,level-3b,500ms,1,15.150,1,1118
14,level-4a,500ms,1,19.167,1,2078
15,airlock,500ms,1,9.400,0,2325
16,level-4b,500ms,1,13.117,1,1188
17,level-4c,500ms,1,24.950,2,1660
18,heartbeat,500ms,1,9.567,0,2324
19,level-5,500ms,1,20.883,1,2211
20,lantern-walk,500ms,1,9.150,0,2328
21,level-6a,500ms,1,20.367,1,2056
22,level-6b,500ms,1,11.317,0,2836
23,polarity-garden,500ms,1,10.000,0,2409
24,level-7,500ms,1,20.000,1,2240
25,slingshot-alley,500ms,1,13.733,0,2792
26,level-8,500ms,1,19.500,1,1955
27,braided-current,500ms,1,10.700,0,2422
28,level-9,500ms,1,18.150,0,3388
29,level-10,500ms,1,18.650,1,2053
30,victory-lap,500ms,1,12.517,0,2684
31,level-11,500ms,1,17.633,0,3293
32,level-12,500ms,1,17.583,0,3294
33,reactor-waltz,500ms,1,14.633,1,1443
34,level-13,500ms,1,17.300,0,3197
35,level-14a,500ms,1,20.417,1,2155
36,eye-of-the-storm,500ms,1,14.917,1,1630
37,level-14b,500ms,1,11.717,1,1372
38,level-14c,500ms,1,22.050,2,1769
39,escape-velocity,500ms,1,22.616,2,1943
40,level-15,500ms,1,19.450,1,1975
1,level-1a,750ms,1,24.000,0,3450
2,stepping-stones,750ms,1,7.083,0,1949
3,level-1b,750ms,1,11.567,0,1864
4,switchback,750ms,1,9.333,0,2056
5,level-1c,750ms,1,18.317,2,1160
6,level-2a,750ms,1,24.216,1,2017
7,split-decision,750ms,1,13.133,0,2358
8,level-2b,750ms,1,18.817,1,1010
9,level-2c,750ms,1,9.000,1,719
10,clockwork,750ms,1,15.183,1,1088
11,level-3a,750ms,1,29.516,2,1930
12,blue-hour,750ms,1,10.250,0,2117
13,level-3b,750ms,1,19.233,1,1090
14,level-4a,750ms,1,24.283,0,3450
15,airlock,750ms,1,11.667,0,2303
16,level-4b,750ms,1,22.500,2,1180
17,level-4c,750ms,1,28.000,2,1690
18,heartbeat,750ms,1,12.733,0,2382
19,level-5,750ms,1,26.650,1,2200
20,lantern-walk,750ms,1,11.417,0,2305
21,level-6a,750ms,1,26.450,1,2200
22,level-6b,750ms,1,14.267,0,2807
23,polarity-garden,750ms,1,12.600,0,2384
24,level-7,750ms,1,24.916,1,2150
25,slingshot-alley,750ms,1,18.083,0,2749
26,level-8,750ms,1,27.583,1,2200
27,braided-current,750ms,1,20.500,1,1685
28,level-9,750ms,1,24.033,0,3450
29,level-10,750ms,1,26.266,1,2200
30,victory-lap,750ms,1,16.417,0,2645
31,level-11,750ms,1,26.350,1,2200
32,level-12,750ms,1,25.983,1,2200
33,reactor-waltz,750ms,1,15.800,0,2692
34,level-13,750ms,1,22.650,0,3250
35,level-14a,750ms,1,28.433,2,1790
36,eye-of-the-storm,750ms,1,19.717,1,1682
37,level-14b,750ms,1,16.783,2,1240
38,level-14c,750ms,1,25.883,1,1881
39,escape-velocity,750ms,1,22.550,0,3264
40,level-15,750ms,1,26.133,1,2110
1,level-1a,hazard-aware,1,13.117,0,3458
2,stepping-stones,hazard-aware,1,4.533,0,1974
3,level-1b,hazard-aware,1,6.200,0,1837
4,switchback,hazard-aware,1,5.650,0,2093
5,level-1c,hazard-aware,1,7.183,0,2028
