level,key,profile,won,seconds,deaths,score
2,stepping-stones,1000ms,1,8.317,0,1936
4,switchback,1000ms,1,12.217,0,2097
7,split-decision,1000ms,1,14.867,0,2241
10,clockwork,1000ms,1,20.483,2,1075
12,blue-hour,1000ms,1,11.250,0,2037
15,airlock,1000ms,1,20.583,1,1274
18,heartbeat,1000ms,1,16.317,0,2446
20,lantern-walk,1000ms,1,13.900,0,2281
23,polarity-garden,1000ms,1,17.767,0,2532
25,slingshot-alley,1000ms,1,21.400,0,2716
27,braided-current,1000ms,1,24.633,1,1493
30,victory-lap,1000ms,1,19.967,0,2610
33,reactor-waltz,1000ms,1,31.716,2,1500
36,eye-of-the-storm,1000ms,1,30.566,2,1590
39,escape-velocity,1000ms,1,24.533,0,3044
2,stepping-stones,1500ms,1,10.833,0,1911
4,switchback,1500ms,1,14.550,0,2004
7,split-decision,1500ms,1,21.367,0,2276
10,clockwork,1500ms,1,30.383,2,1030
12,blue-hour,1500ms,1,16.367,0,2056
15,airlock,1500ms,1,18.517,0,2234
18,heartbeat,1500ms,1,23.483,0,2475
20,lantern-walk,1500ms,1,18.333,0,2236
23,polarity-garden,1500ms,1,20.283,0,2207
25,slingshot-alley,1500ms,1,28.466,0,2650
27,braided-current,1500ms,1,42.616,2,1510
30,victory-lap,1500ms,1,26.400,0,2550
33,reactor-waltz,1500ms,1,36.583,1,1810
36,eye-of-the-storm,1500ms,1,29.400,1,1296
39,escape-velocity,1500ms,1,35.900,0,3150
2,stepping-stones,2000ms,1,13.333,0,1886
4,switchback,2000ms,1,20.300,0,2017
7,split-decision,2000ms,1,26.966,0,2250
10,clockwork,2000ms,1,33.150,2,960
12,blue-hour,2000ms,1,20.467,0,2015
15,airlock,2000ms,1,29.450,0,2450
18,heartbeat,2000ms,1,31.683,0,2550
20,lantern-walk,2000ms,1,23.000,0,2190
23,polarity-garden,2000ms,1,29.683,0,2450
25,slingshot-alley,2000ms,1,35.333,0,2650
27,braided-current,2000ms,1,43.883,1,1710
30,victory-lap,2000ms,1,32.600,0,2550
33,reactor-waltz,2000ms,1,36.883,0,2750
36,eye-of-the-storm,2000ms,1,39.350,0,2850
39,escape-velocity,2000ms,1,44.966,0,3150
2,stepping-stones,1500ms-nearest,1,18.667,0,2183
4,switchback,1500ms-nearest,1,20.867,0,2281
7,split-decision,1500ms-nearest,1,21.367,0,2276
10,clockwork,1500ms-nearest,1,23.100,0,2359
12,blue-hour,1500ms-nearest,1,22.566,0,2364
15,airlock,1500ms-nearest,1,32.166,1,1440
18,heartbeat,1500ms-nearest,1,24.983,0,2560
20,lantern-walk,1500ms-nearest,1,24.616,0,2563
23,polarity-garden,1500ms-nearest,1,25.233,0,2557
25,slingshot-alley,1500ms-nearest,1,28.466,0,2650
27,braided-current,1500ms-nearest,1,42.616,2,1510
30,victory-lap,1500ms-nearest,1,26.400,0,2550
33,reactor-waltz,1500ms-nearest,1,36.583,1,1810
36,eye-of-the-storm,1500ms-nearest,1,32.366,1,1440
39,escape-velocity,1500ms-nearest,1,35.900,0,3150
